"","active_from","active_to","birth_date","college","height","name","position","weight","NBA__3ptapg","NBA__3ptpct","NBA__3ptpg","NBA_efgpct","NBA_fg%","NBA_fg_per_game","NBA_fga_per_game","NBA_ft%","NBA_ft_per_g","NBA_fta_p_g","NBA_g_played","NBA_ppg","NCAA__3ptapg","NCAA__3ptpct","NCAA__3ptpg","NCAA_efgpct","NCAA_fgapg","NCAA_fgpct","NCAA_fgpg","NCAA_ft","NCAA_ftapg","NCAA_ftpg"
"18",2004,2011,"November 19","Las Vegas","6-2","Marcus Banks","G","200","1.1",0.327,0.4,0.469,0.432,2.1,4.9,0.768,1.3,1.7,348,5.9,3.1,0.33,1,0,12.2,0.495,6,0.731,6.8,5
"19",1985,1991,"April 1","Saint Augustine's College","6-9","Ken Bannister","F-C","235","0.0",0,0,0.488,0.488,2.3,4.8,0.492,1.3,2.6,253,5.9,0,0,0,0,0,0,0,NA,NA,NA
"20",2004,2017,"March 9","Los Angeles","6-7","Matt Barnes","F","226","3.2",0.335,1.1,0.513,0.436,3,6.9,0.745,1.1,1.5,929,8.2,1.6,0.314,0.5,0,7.1,0.469,3.3,0.566,2.9,1.7
"21",1993,2006,"July 25","Georgia Institute of Technology","6-4","Jon Barry","G","195","2.0",0.392,0.8,0.524,0.434,1.9,4.5,0.848,1.1,1.2,821,5.7,5.7,0.371,2.1,0,12.1,0.421,5.1,0.717,2.9,2.1
"22",1990,1993,"October 10","University of Illinois at Urbana-Champaign","6-6","Kenny Battle","F","210","0.2",0.133,0,0.508,0.504,1.8,3.6,0.725,1,1.4,134,4.7,0.3,0.5,0.1,0,11.6,0.569,6.6,0.686,6.6,4.5
"23",1996,1999,"May 27","University of Arkansas","6-1","Corey Beck","G","190","0.1",0.6,0,0.459,0.451,1.1,2.3,0.684,0.6,0.9,88,2.7,0.6,0.468,0.3,0,5,0.498,2.5,0.67,4.1,2.7
"24",2001,2012,"September 19","Florida International University","6-5","Raja Bell","G","204","3.3",0.406,1.4,0.514,0.434,3.7,8.4,0.799,1.2,1.6,706,9.9,0,0,0,0,0,0,0,NA,NA,NA
"25",2014,2017,"March 14","Las Vegas","6-8","Anthony Bennett","F","245","0.9",0.261,0.2,0.42,0.392,1.7,4.2,0.67,0.8,1.2,151,4.4,2.7,0.375,1,0,10.8,0.533,5.8,0.701,5.1,3.5
"26",1989,1989,"October 6","San Jose State University","6-8","Ricky Berry","F","205","2.5",0.406,1,0.507,0.45,4,8.9,0.789,2,2.6,64,11,0,0,0,0,0,0,0,NA,NA,NA
"27",2015,2018,"November 22","University of Kansas","6-9","Tarik Black","C-F","250","0.1",0.083,0,0.551,0.551,2,3.6,0.584,0.9,1.5,218,4.9,0,0,0,0,5.3,0.614,3.3,0.555,3.3,1.8
"28",1991,1993,"September 9","University of Texas at Austin","6-4","Lance Blanks","G","190","0.5",0.253,0.1,0.472,0.436,0.8,1.9,0.667,0.3,0.4,142,2,4.8,0.36,1.7,0,10.5,0.429,4.5,0.729,3.8,2.8
"29",1990,2002,"March 20","University of Oklahoma","6-0","Mookie Blaylock","G","180","4.3",0.336,1.4,0.465,0.409,5.3,12.9,0.736,1.4,1.9,889,13.5,6,0.379,2.3,0,15.2,0.457,6.9,0.668,2.9,1.9
"30",1997,2009,"June 14","Fullerton","6-7","Bruce Bowen","F","185","2.4",0.393,0.9,0.494,0.409,2.2,5.5,0.575,0.7,1.2,873,6.1,1.5,0.283,0.4,0,8.8,0.433,3.8,0.695,4.9,3.4
"31",2002,2006,"April 18","Villanova University","6-10","Michael Bradley","F-C","245","0.1",0.143,0,0.479,0.477,1.3,2.6,0.511,0.3,0.5,173,2.8,0.3,0.353,0.1,0,6.5,0.677,4.4,0.541,3.6,1.9
"32",2009,2018,"September 24","Fullerton","6-2","Bobby Brown","G","175","1.9",0.317,0.6,0.446,0.379,1.7,4.5,0.806,0.3,0.4,158,4.4,7,0.377,2.6,0,13.9,0.428,6,0.789,2.9,2.3
"33",1992,2003,"May 22","New Mexico State University","6-2","Randy Brown","G","190","0.2",0.2,0,0.421,0.417,1.9,4.7,0.691,0.9,1.3,655,4.8,0.7,0.31,0.2,0,6.8,0.436,3,0.703,4.2,3
"34",1991,2002,"June 5","University of Iowa","6-10","Matt Bullard","F","215","2.5",0.384,1,0.521,0.418,2,4.7,0.768,0.4,0.5,615,5.3,2.1,0.336,0.7,0,9.2,0.533,4.9,0.768,3.3,2.5
"35",1994,2004,"December 15","Los Angeles","6-5","Mitchell Butler","G-F","210","0.9",0.304,0.3,0.468,0.438,2,4.5,0.623,1,1.6,362,5.2,1,0.228,0.2,0,6.2,0.519,3.2,0.528,2.3,1.2
"36",2006,2015,"January 4","Georgia Institute of Technology","6-0","Will Bynum","G","185","0.9",0.272,0.2,0.458,0.442,3.1,7,0.799,1.7,2.1,360,8.1,3.9,0.31,1.2,0,8.1,0.385,3.1,0.739,2.7,2
"37",1990,1998,"July 4","Lamar University","6-8","Adrian Caldwell","F-C","265","0.0",0,0,0.485,0.485,0.8,1.7,0.453,0.3,0.7,197,2,0,0,0,0,5.8,0.556,3.2,0.428,4.1,1.8
